name	va	documented
ResourceGetEntry	0x006f7a80	yes
ResourceGetItemId	0x006f7b40	yes
ResourceGetLevel	0x006f7a10	yes
ResourceGetMeasureID	0x006f7d30	yes
ResourceGetScriptFunc	0x006f7cb0	yes
ResourceGetTypeCount	0x0070ed20	yes
ResourceGetTypeItem	0x0070eda0	yes
ResourceSow	0x006f7c30	yes
RollPoolName	0x007106d0	no
RoomGetInsideSimList	0x006fb160	yes
RoomLockForCutscene	0x0070afb0	no
SatisfyNeed	0x006fee10	yes
SaveAllConfig	0x00450ad0	no
ScenarioCreateCart	0x00705e70	no
ScenarioCreatePosition	0x0070e260	yes
ScenarioCreateResource	0x006f74c0	yes
ScenarioFindBuildingProto	0x006f5580	yes
ScenarioFindBuildingProtoForCharacter	0x00716810	yes
ScenarioFindPosition	0x0070d8e0	no
ScenarioGetBuildingCount	0x007099e0	no
ScenarioGetDifficulty	0x006f6e30	yes
ScenarioGetImperialCapital	0x006f70c0	no
ScenarioGetImperialCapitalId	0x006f7020	no
ScenarioGetItemIdByNumber	0x006f7290	no
ScenarioGetItemIdCount	0x006f7250	no
ScenarioGetKontorGoodCount	0x006f6ec0	no
ScenarioGetKontorGoodInfo	0x006f6f50	no
ScenarioGetObjectByName	0x0070e060	yes
ScenarioGetObjects	0x0070de40	yes
ScenarioGetRandomObject	0x007159d0	yes
ScenarioGetTimePlayed	0x006f72e0	yes
ScenarioGetUnspawnedEnemiesCount	0x006fe8d0	yes
ScenarioGetYearsPerRound	0x006fe960	yes
ScenarioPauseAI	0x006f7370	yes
ScenarioSetImperialCapital	0x006f7190	no
ScenarioSetNameLanguage	0x0070c6a0	yes
ScenarioSetOutdoorScrollBoundaries	0x006f53d0	yes
ScenarioSetYearsPerRound	0x006fe770	yes
ScenarioStopUsingOutdoorScrollBoundaries	0x006f5340	yes
SetActiveAvoidance	0x006fa430	yes
SetAppearance	0x00709d10	yes
SetArg	0x00719a80	no
SetAvoidanceGroup	0x00717c40	yes
SetAvoidanceRange	0x006fa100	yes
SetCampaignEndText	0x0070a940	yes
SetConfigFloat	0x00451960	no
SetConfigInt	0x00451480	no
SetConfigString	0x00451510	no
SetContext	0x006fa3a0	yes
SetData	0x00639050	yes
SetDestroyed	0x0063a150	yes
SetEndlessMoney	0x007034d0	no
SetExclusiveMeasure	0x006f7da0	yes
SetFavorToDynasty	0x00711f00	yes
SetFavorToSim	0x00711e00	yes
SetHomeBuilding	0x006fecb0	yes
SetImportantPersonToSection	0x0044e4b0	no
SetInit	0x00639ea0	yes
SetInvisible	0x006ffcd0	no
SetMainQuest	0x0070af50	yes
SetMainQuestDescription	0x0071b0a0	yes
SetMainQuestTitle	0x0071af40	yes
SetMeasureRepeat	0x00708330	yes
SetMenuState	0x00450270	no
SetMouseCursorTexture	0x0063a600	yes
SetName	0x006f6d10	yes
SetNobilityTitle	0x00702210	yes
SetOfficePrivileges	0x00800010	yes
SetOfficeServants	0x007fff50	yes
SetPassiveAvoidance	0x006fa4a0	yes
SetPlayerName	0x00450390	no
SetPosition	0x006fbbf0	yes
SetProcessMaxProgress	0x00704750	yes
SetProcessProgress	0x007047b0	yes
SetProperty	0x00637600	yes
SetQuestDescription	0x0071abf0	yes
SetQuestDescriptionByQuestname	0x0071ad20	yes
SetQuestDestination	0x00714480	yes
SetQuestSource	0x007149b0	yes
SetQuestTitle	0x0071aaf0	yes
SetReady	0x00639ff0	yes
SetRepeatTimer	0x007088e0	yes
SetRichPresence	0x0070d320	no
SetRoomAnimationTime	0x008047a0	yes
SetSkillValue	0x007132e0	yes
SetState	0x007060b0	yes
SetStateImpact	0x007061c0	yes
SetTime	0x006fe9f0	yes
SettlementEventGetTime	0x007143f0	yes
SettlementGetOffice	0x00800b00	yes
SettlementGetOfficeCnt	0x00800a60	yes
SettlementGetOfficeHolder	0x00800be0	yes
SettlementGetOfficeLevelCnt	0x008009e0	yes
SetWorkOfArtProvenance	0x007190e0	no
ShowBoundingBox	0x007080b0	yes
ShowBuildingFlags	0x006fb210	yes
ShowMap	0x0044ccb0	yes
ShowObject	0x00710100	yes
ShowOverheadMeasureSymbol	0x0070a960	yes
ShowOverheadSymbol	0x0071a950	yes
ShowStatistics	0x0044e6f0	yes
SimAddCourtingProgress	0x00700740	yes
SimAddDate	0x00710fb0	yes
SimAddDatebookEntry	0x00719d70	yes
SimApplyDeposition	0x00800690	yes
SimArrangeLiaison	0x00700910	yes
SimBeamMeUp	0x006ff9b0	yes
SimCanBeCharged	0x007019b0	yes
SimCanBeHired	0x006fa6e0	no
SimCanStartCourtLover	0x00700570	yes
SimCanWorkHere	0x006faae0	yes
SimChargeCharacter	0x00717d70	yes
SimConsumeGoods	0x007004e0	yes
SimCreate	0x007059f0	yes
SimCreateCompanion	0x007108f0	yes
SimCreateUnplaced	0x00705b60	no
SimDoCourtingAction	0x00700690	yes
SimFindProduction	0x006faa20	yes
SimFindSquad	0x0070b500	yes
SimGenerateName	0x006ffe20	no
SimGetAge	0x00710200	yes
SimGetAlignment	0x00711330	yes
SimGetAssignedArea	0x00711a60	yes
SimGetAssignedAreaID	0x007113b0	yes
SimGetBehavior	0x007000a0	yes
SimGetBeloved	0x00701570	yes
SimGetBestEvidence	0x007160a0	yes
SimGetChild	0x00701310	yes
SimGetChildCount	0x007012a0	yes
SimGetChildren	0x00701030	no
SimGetChildrenCount	0x007010f0	no
SimGetChurch	0x00701610	yes
SimGetCityOfOffice	0x007ffba0	yes
SimGetClass	0x007124f0	yes
SimGetCourtingSim	0x00710ab0	no
SimGetCourtLover	0x007007b0	yes
SimGetCrimeList	0x00716310	yes
SimGetCutscene	0x00710d80	yes
SimGetDeadSpouseCount	0x007112a0	no
SimGetDivorced	0x00702290	yes
SimGetFaith	0x00711510	yes
SimGetFather	0x00701160	yes
SimGetFavourableCourtingAction	0x006ff820	yes
SimGetGender	0x00712620	yes
SimGetHandsel	0x007036c0	yes
SimGetLastname	0x006ffe80	yes
SimGetLevel	0x00712480	yes
SimGetLiaison	0x00700850	no
SimGetMaxOfficeLevel	0x007ff590	yes
SimGetMother	0x00701200	yes
SimGetNeed	0x006feeb0	yes
SimGetOffice	0x007ff700	yes
SimGetOfficeID	0x007ffe20	yes
SimGetOfficeIndex	0x007ff680	yes
SimGetOfficeLevel	0x007ff600	yes
SimGetPregnant	0x00710320	yes
SimGetProduceItemID	0x006ffc60	yes
SimGetProductivity	0x006ff6c0	yes
SimGetProfession	0x00700eb0	yes
SimGetProgress	0x006ff720	yes
SimGetRank	0x00710a40	yes
SimGetReligion	0x00711430	yes
SimGetServantDynasty	0x00705590	yes
SimGetServantDynastyId	0x00705630	no
SimGetSpouse	0x00700f90	yes
SimGetWage	0x00703760	yes
SimGetWealth	0x006fff40	yes
SimGetWeaponDamage	0x006f9960	no
SimGetWorkingPlace	0x00701c20	yes
SimGetWorkingPlaceID	0x00701bb0	yes
SimHasAbility	0x00715ba0	yes
SimHire	0x006fa5e0	yes
SimIsAppliedForOffice	0x00800940	yes
SimIsCourting	0x00710b50	no
SimIsInside	0x00702420	yes
SimIsMortal	0x0070f190	yes
SimIsWorkingTime	0x00702490	yes
SimLock	0x00700260	yes
SimMarry	0x007014e0	yes
SimPauseWorking	0x00700f20	yes
SimReleaseCourtLover	0x007016d0	yes
SimResetBehavior	0x007002f0	yes
SimResumePreFightMeasure	0x006fef30	yes
SimRunForAnOffice	0x00800410	yes
SimSetAge	0x00710280	yes
SimSetBehavior	0x00700020	yes
SimSetBehaviorDataAlias	0x007001b0	yes
SimSetBehaviorDataFloat	0x00700110	yes
SimSetClass	0x00712590	yes
SimSetCourtLover	0x00700600	yes
SimSetDoctorTitle	0x00702340	yes
SimSetFaith	0x00711590	yes
SimSetFamily	0x007104c0	yes
SimSetFirstname	0x007103a0	yes
SimSetHireable	0x006fa560	yes
SimSetLastname	0x007105a0	yes
SimSetMortal	0x0070f200	yes
SimSetOffice	0x007ffd10	yes
SimSetParents	0x006ffd60	yes
SimSetProduceItemID	0x006ffb50	yes
SimSetProgress	0x006ff790	yes
SimSetReligion	0x007114b0	yes
SimSetStartLevel	0x007123f0	no
SimStartIdleMeasure	0x006fffb0	yes
SimStopMeasure	0x006ffa30	yes
Sleep	0x005cfbd0	no
SneakVisActivate	0x00709950	no
SpendMoney	0x00702f80	yes
SquadAddMember	0x0070baa0	yes
SquadAddRandom	0x0070b710	yes
SquadCreate	0x0070b3c0	yes
SquadDestroy	0x0070b490	yes
SquadGet	0x0070b670	yes
SquadGetLeader	0x0070bc60	yes
SquadGetLeaderId	0x0070bd00	yes
SquadGetMeetingPlace	0x0070beb0	yes
SquadGetMember	0x0070bd70	yes
SquadGetMemberCount	0x0070b830	yes
SquadGetProfession	0x0070b7b0	yes
SquadGetState	0x0070bbf0	yes
SquadGetVacantPlace	0x0070b8c0	yes
SquadIsNeeded	0x0070ba10	yes
SquadIsReady	0x0070b930	no
SquadMemberExists	0x0070be30	yes
SquadRemoveMember	0x0070bb50	yes
SquadSetMeetingPlace	0x0070c0e0	yes
SquadSetReady	0x0070b990	yes
StartEmote	0x007017d0	yes
StartGameTimer	0x0070b0d0	yes
StartHighPriorMusic	0x00713420	yes
StartMagicalEffect	0x0044d460	yes
StartMission	0x00714c90	yes
StartProduction	0x006ff010	yes
StartQuest	0x00714b90	yes
StartRoomAnimation	0x008044c0	yes
StartSinglePlayerGame	0x004516a0	no
StartSingleShotParticle	0x00712f90	yes
Stop	0x005cfd60	no
StopAction	0x00708c40	yes
StopAllAnimations	0x00702ab0	no
StopAnimation	0x00702a40	yes
StopEmote	0x007018d0	yes
StopFollow	0x006fd4c0	yes
StopMeasure	0x00638c60	yes
StopProduction	0x006ff080	no
StopRoomAnimation	0x00804630	yes
StopScheduledScript	0x00638b80	yes
string	0x00825700	no
SystemGetMeasureName	0x006f77a0	yes
SystemGetMeasurePriority	0x006f7740	yes
table	0x00823c10	no
takeownership	0x0088bbb0	no
Talk	0x00708980	yes
ThrowObject	0x006fc570	yes
TradeMemoryEvents	0x006fead0	yes
Transfer	0x006fc3e0	yes
TransferItems	0x006fc300	yes
TrialHUDSetSims	0x0044d9b0	no
TrialHUDSetStatus	0x0044daa0	no
UI_AttachCityListeners	0x00459530	no
UI_BringToFront	0x00457d90	no
UI_CleanupAll	0x0045b420	no
UI_ComboBoxAddItem	0x00458c00	no
UI_ComboBoxGetValue	0x00458e60	no
UI_ComboBoxSetValue	0x00458f60	no
UI_CreateCheckbox	0x00457d80	no
UI_CreateComboBox	0x00458700	no
UI_CreateLabel	0x00457c10	no
UI_CreateScrollBar	0x00459c10	no
UI_CreateSlider	0x00457ff0	no
UI_CreateWindow	0x00457c20	no
UI_DestroyElement	0x00457c80	no
UI_ExcludeFromHitTest	0x00459ba0	no
UI_GetCursorPos	0x00450200	no
UI_GetElementPosition	0x00457ca0	no
UI_GetScreenSize	0x004501f0	no
UI_GetSelectedCity	0x00451610	no
UI_GetSize	0x00457cd0	no
UI_GetSliderValue	0x00459020	no
UI_GetText	0x00457d10	no
UI_IsButtonPressed	0x00457d70	no
UI_IsVisible	0x00457db0	no
UI_LoadMapGUI	0x004591f0	no
UI_LoadSaveScreenshot	0x0045aab0	no
UI_SetAlpha	0x00457ce0	no
UI_SetButtonColors	0x00457d20	no
UI_SetButtonHoverColor	0x00457d50	no
UI_SetButtonPressedColor	0x00457d40	no
UI_SetButtonReleasedColor	0x00457d30	no
UI_SetButtonTexture	0x00457cb0	no
UI_SetButtonWheelScroll	0x004598c0	no
UI_SetCheckboxState	0x00457110	no
UI_SetColor	0x00457c70	no
UI_SetElementShader	0x00459a10	no
UI_SetElementWheelScroll	0x00459760	no
UI_SetEnabled	0x00457c40	no
UI_SetFont	0x00457cf0	no
UI_SetFontColor	0x00457d00	no
UI_SetLabelAlignment	0x00456130	no
UI_SetMapFile	0x0045a9b0	no
UI_SetName	0x00457dc0	no
UI_SetOnClick	0x00457c90	no
UI_SetPosition	0x00457c50	no
UI_SetScrollBarRange	0x0045a6f0	no
UI_SetShaderColor	0x00459ad0	no
UI_SetSize	0x00457cc0	no
UI_SetSliderValue	0x00459120	no
UI_SetText	0x00457c60	no
UI_SetTextAlignment	0x00456370	no
UI_SetTexture	0x00457da0	no
UI_SetupDefaultButton	0x00457d60	no
UI_SetVisible	0x00457c30	no
UI_StyleMenuButton	0x00456bf0	no
UI_StyleSlider	0x004582f0	no
UI_ToggleCheckbox	0x004571f0	no
UnloadShipCrew	0x00718810	no
UnlockAchievement	0x0070d150	no
Unmount	0x007157f0	no
UpdateAchievementProgress	0x0044eaa0	no
UpdateStat	0x0070d240	no
VehicleChangeModel	0x006fa1e0	no
VehicleGetModelName	0x006fa2d0	no
VoiceIsMicActiveOn	0x006f81b0	no
VoiceToggleMic	0x006f8120	no
WaitForMessage	0x005cfcb0	no
Weather_GetSeason	0x00803ed0	yes
Weather_GetValue	0x00803df0	yes
Weather_PlaySound	0x00804210	yes
Weather_Rand	0x00804170	yes
Weather_SetCloudFactor	0x00804070	yes
Weather_SetLight	0x00803f70	yes
Weather_SetParticles	0x00803ff0	yes
Weather_SetSoundLoop	0x008042c0	yes
Weather_SetWeather	0x00803d00	yes
Weather_SetWind	0x008040f0	yes
WeddingHUDSetSims	0x0044dba0	no
WeddingHUDSetStatus	0x0044dc70	no
