name	va	arity	params
ListContains	0x00639b00	2	outalias,outalias
ListCrimeReport	0x00701a80	1	string
ListGetElement	0x00639960	3	outalias,?,outalias
ListMerge	0x00639580	2	outalias,outalias
ListNew	0x006393f0	1	outalias
ListRemove	0x006396e0	2	outalias,outalias
ListSize	0x00639890	1	outalias
LoadSaveGame	0x00452530	-	unresolved
LocatorGetBlocker	0x006ff300	1	object
LocatorStatus	0x006ff0d0	2	building,string
LogError	0x005cc850	-	unresolved
LogMessage	0x005cc7b0	-	unresolved
LogWarning	0x005cbe00	-	unresolved
LordshipAddFavor	0x006fe170	2	guildobject,number
LordshipGetFavor	0x006fe2b0	2	guildobject,number
LuaType	0x005cbac0	-	unresolved
MapHighlightObject	0x0044d0d0	3	guildobject,bool,bool
MarketConsume	0x007074e0	1	settlement
MarketRegisterSale	0x00707590	2	settlement,number
math	0x00825e90	-	unresolved
MeasureAddAlias	0x0070e520	3	object,string,object
MeasureAddData	0x0070e640	3	object,string,outalias
MeasureClearRuntimeData	0x0063c620	0	
MeasureCreate	0x0070e420	1	string
MeasureGetID	0x006f7700	0	
MeasureGetPriority	0x0063ae90	0	
MeasureIsValid	0x0070c170	2	object,object
MeasureRun	0x0070e9f0	4	guildobject,object,?,bool
MeasureSetNotRestartable	0x0063c5f0	0	
MeasureSetPriority	0x0063ae20	0	
MeasureSetStopMode	0x0063cb00	0	
MeasureStart	0x0070e820	5	object,guildobject,object,?,bool
ModifyFavorToDynasty	0x00711d00	3	sim,object,number
ModifyFavorToSim	0x00711c00	3	sim,sim,number
ModifyHP	0x00704930	3	guildobject,?,bool
Mount	0x0070cf80	1	sim
MoveGetPrefPattern	0x00712d30	1	object
MoveGetStance	0x006fd040	1	object
MoveSetActivity	0x006fcea0	2	object,string
MoveSetStance	0x006fcfb0	2	object,number
MoveStop	0x006fd0d0	1	object
MsgDebugMeasure	0x00638d60	1	outalias
MsgMeasure	0x0071a5e0	2	guildobject,string
MsgQuick	0x0071a720	2	guildobject,string
MsgSystem	0x0071a840	2	guildobject,string
Name2BuildingType	0x006f9e90	1	string
newproxy	0x00822dd0	-	unresolved
NotifyOnStateChange	0x00717940	4	guildobject,number,string,string
ObjectClearMeasureIcon	0x0070c560	1	guildobject
ObjectClearStateIcon	0x0070c640	1	guildobject
ObjectGetRotationY	0x006fcc30	1	object
ObjectSetHighlight	0x0070b300	2	guildobject,bool
ObjectSetMeasureIcon	0x0070c4e0	2	guildobject,string
ObjectSetStateIcon	0x0070c5c0	2	guildobject,string
OfficeApplicationHUDAddVoter	0x0044de40	3	object,number,number
OfficeApplicationHUDSetCandidates	0x0044dd60	6	object,number,number,number,number,number
OfficeDepositionHUDAddVoter	0x0044df70	3	object,number,number
OfficeDepositionHUDSetCandidate	0x0044dee0	2	object,number
OfficeGetAccessRights	0x007ffe90	3	object,sim,number
OfficeGetApplicantCount	0x008002b0	0	
OfficeGetChargeCost	0x00800140	0	
OfficeGetHolder	0x007ff900	2	object,string
OfficeGetHolderId	0x007ff890	1	object
OfficeGetIdx	0x00800240	1	object
OfficeGetLevel	0x007ff9c0	0	
OfficeGetShadowApplicantCount	0x00800320	0	
OfficeGetTextLabel	0x007ffa20	2	number,number
OfficePrepareSessionMembers	0x00801b60	3	object,string,number
OfficeRemoveApplicant	0x008001b0	2	object,sim
OfficeSetBlock	0x007ff820	2	object,bool
OpenBugReport	0x00450a50	-	unresolved
OpenLetterComposer	0x0070a170	1	guildobject
OpenSteamOverlayURL	0x00450a20	-	unresolved
OSHSetMeasureCost	0x0044f590	1	string
OSHSetMeasureRepeat	0x0044f4d0	1	string
OSHSetMeasureRuntime	0x0044f410	1	string
OutputDebugString	0x006fa990	1	string
pairs	0x00822830	-	unresolved
PenaltyFinish	0x00709800	1	object
PenaltyGetOffender	0x00714000	2	object,string
PenaltyGetPrisonTime	0x007098e0	1	object
PenaltyGetType	0x00709870	1	object
PenaltyReset	0x00709790	1	object
PlayerCreate	0x006f5130	2	object,string
PlayerMeasureStarted	0x0044cff0	1	string
PlayFE	0x00709fe0	2	sim,string
PlaySound	0x00707de0	4	string,number,number,string
PlaySound3D	0x00707ef0	3	guildobject,string,number
PlaySound3DVariation	0x00707f90	3	guildobject,string,number
PlaySoundVariation	0x00707e70	2	string,number
Plunder	0x006f9d00	3	guildobject,guildobject,number
Position2GuildObject	0x006fb330	2	object,string
PositionGetArea	0x006fb680	1	object
PositionGetRotation	0x006fba70	1	object
PositionGetVector	0x006fb770	1	object
PositionModify	0x006fb580	4	object,number,number,number
PositionMove	0x006fb430	4	object,number,object,number
PositionSetArea	0x006fb6f0	2	object,number
PositionSetVector	0x006fbad0	4	object,number,number,number
ProfessionGetLabel	0x00707930	2	number,number
QuestTalk	0x00708a30	2	sim,sim
QuitGame	0x00450360	-	unresolved
Rand	0x0063a830	0	
ReadyToRepeat	0x00708130	2	guildobject,string
RealmGetRuler	0x006fde40	1	number
RealmSetRuler	0x006fdd40	2	number,guildobject
Realtime2Gametime	0x006fd610	1	number
ReleaseAvoidanceGroup	0x006fa510	1	sim
ReleaseLocator	0x006ff370	2	object,object
releaseownership	0x0088c0e0	-	unresolved
RemoveAlias	0x00638e90	1	outalias
RemoveAllImpactDependendImpacts	0x00704db0	2	guildobject,impactname
RemoveAllObjectDependendImpacts	0x00704e40	2	guildobject,object
RemoveAllOverheadSymbols	0x0070a7e0	1	guildobject
RemoveData	0x006391a0	1	outalias
RemoveDialogBox	0x0070a850	1	guildobject
RemoveDynastyEvidences	0x0070acb0	2	sim,sim
RemoveEmptySlots	0x006fc270	2	guildobject,number
RemoveEvidences	0x0070ac20	2	sim,sim
RemoveImpact	0x00704f10	3	guildobject,impactname,object
RemoveItems	0x0070f740	4	guildobject,number,number,number
RemoveOverheadSymbol	0x0070a750	1	string
RemoveOverheadSymbols	0x00718cf0	0	
RemoveProperty	0x00637b00	2	outalias,outalias
RemoveScriptcall	0x00708750	1	string
RenderCustomClear	0x00505130	2	?,string
RenderCustomClearAll	0x00505210	0	
RenderCustomSetCamera	0x00504950	8	?,string,number,number,number,number,number,number
RenderCustomSetFOV	0x00504a40	3	?,string,number
RenderCustomSetLabel	0x00504470	3	?,string,string
RenderCustomSetObjectTransform	0x00504ad0	9	?,string,number,number,number,number,number,number,number
RenderCustomSetTexture	0x00504500	3	?,string,string
RenderCustomShowNIF	0x00505be0	4	?,string,string,number
RenderCustomShowObject	0x00505b30	4	?,string,guildobject,number
RenderCustomShowSim	0x00505a80	4	?,string,sim,number
ResetAchievementProgress	0x0044ef70	2	number,object
ResetGamespeed	0x0044e730	0	
ResetMouseCursorTexture	0x0063a750	0	
ResetProcessProgress	0x00704810	1	guildobject
ResetQuest	0x00714e00	2	string,guildobject
ResolveLabel	0x0070d3b0	1	string
ResourceCanBeChanged	0x006f7bc0	1	object
ResourceFind	0x006f7880	4	guildobject,number,string,bool
ResourceGetEntry	0x006f7a80	2	object,string
ResourceGetItemId	0x006f7b40	1	object
ResourceGetLevel	0x006f7a10	1	object
ResourceGetMeasureID	0x006f7d30	1	object
ResourceGetScriptFunc	0x006f7cb0	1	object
ResourceGetTypeCount	0x0070ed20	1	object
ResourceGetTypeItem	0x0070eda0	2	object,number
ResourceSow	0x006f7c30	2	object,number
RollPoolName	0x007106d0	3	string,number,number
RoomGetInsideSimList	0x006fb160	2	object,string
RoomLockForCutscene	0x0070afb0	2	object,object
SatisfyNeed	0x006fee10	3	sim,number,number
SaveAllConfig	0x00450ad0	-	unresolved
ScenarioCreateCart	0x00705e70	4	number,guildobject,object,string
ScenarioCreatePosition	0x0070e260	3	number,number,string
ScenarioCreateResource	0x006f74c0	3	object,string,string
ScenarioFindBuildingProto	0x006f5580	4	number,number,number,number
ScenarioFindBuildingProtoForCharacter	0x00716810	3	sim,number,number
ScenarioFindPosition	0x0070d8e0	9	object,number,number,number,number,number,number,string,string
ScenarioGetBuildingCount	0x007099e0	5	number,number,number,number,number
ScenarioGetDifficulty	0x006f6e30	0	
ScenarioGetImperialCapital	0x006f70c0	1	string
ScenarioGetImperialCapitalId	0x006f7020	0	
ScenarioGetItemIdByNumber	0x006f7290	1	number
ScenarioGetItemIdCount	0x006f7250	0	
ScenarioGetKontorGoodCount	0x006f6ec0	0	
ScenarioGetKontorGoodInfo	0x006f6f50	1	number
ScenarioGetObjectByName	0x0070e060	3	string,string,string
ScenarioGetObjects	0x0070de40	3	string,number,string
ScenarioGetRandomObject	0x007159d0	2	string,string
ScenarioGetTimePlayed	0x006f72e0	0	
ScenarioGetUnspawnedEnemiesCount	0x006fe8d0	0	
ScenarioGetYearsPerRound	0x006fe960	0	
ScenarioPauseAI	0x006f7370	1	bool
ScenarioSetImperialCapital	0x006f7190	1	settlement
ScenarioSetNameLanguage	0x0070c6a0	1	string
ScenarioSetOutdoorScrollBoundaries	0x006f53d0	0	
ScenarioSetYearsPerRound	0x006fe770	1	number
ScenarioStopUsingOutdoorScrollBoundaries	0x006f5340	0	
SetActiveAvoidance	0x006fa430	2	object,bool
SetAppearance	0x00709d10	3	sim,number,number
SetArg	0x00719a80	2	number,string
SetAvoidanceGroup	0x00717c40	0	
SetAvoidanceRange	0x006fa100	2	object,number
SetCampaignEndText	0x0070a940	0	
SetConfigFloat	0x00451960	-	unresolved
SetConfigInt	0x00451480	-	unresolved
SetConfigString	0x00451510	-	unresolved
SetContext	0x006fa3a0	2	object,string
SetData	0x00639050	2	outalias,outalias
SetDestroyed	0x0063a150	1	outalias
SetEndlessMoney	0x007034d0	2	guildobject,bool
SetExclusiveMeasure	0x006f7da0	3	object,?,number
SetFavorToDynasty	0x00711f00	3	sim,object,number
SetFavorToSim	0x00711e00	3	sim,sim,number
SetHomeBuilding	0x006fecb0	2	guildobject,building
SetImportantPersonToSection	0x0044e4b0	3	number,string,number
SetInit	0x00639ea0	1	outalias
SetInvisible	0x006ffcd0	2	guildobject,bool
SetMainQuest	0x0070af50	1	string
SetMainQuestDescription	0x0071b0a0	2	string,string
SetMainQuestTitle	0x0071af40	2	string,string
SetMeasureRepeat	0x00708330	2	number,object
SetMenuState	0x00450270	-	unresolved
SetMouseCursorTexture	0x0063a600	1	outalias
SetName	0x006f6d10	2	guildobject,string
SetNobilityTitle	0x00702210	3	sim,number,bool
SetOfficePrivileges	0x00800010	1	object
SetOfficeServants	0x007fff50	4	object,string,number,number
SetPassiveAvoidance	0x006fa4a0	2	object,bool
SetPlayerName	0x00450390	-	unresolved
SetPosition	0x006fbbf0	1	object
SetProcessMaxProgress	0x00704750	2	guildobject,number
SetProcessProgress	0x007047b0	2	guildobject,number
SetProperty	0x00637600	3	outalias,outalias,outalias
SetQuestDescription	0x0071abf0	2	string,bool
SetQuestDescriptionByQuestname	0x0071ad20	4	string,sim,string,bool
SetQuestDestination	0x00714480	1	guildobject
SetQuestSource	0x007149b0	1	guildobject
SetQuestTitle	0x0071aaf0	1	string
SetReady	0x00639ff0	1	outalias
SetRepeatTimer	0x007088e0	3	guildobject,string,number
SetRichPresence	0x0070d320	2	string,string
SetRoomAnimationTime	0x008047a0	4	building,string,string,number
SetSkillValue	0x007132e0	3	sim,skillname,number
SetState	0x007060b0	3	guildobject,number,bool
SetStateImpact	0x007061c0	1	string
SetTime	0x006fe9f0	4	number,number,number,number
SettlementEventGetTime	0x007143f0	1	object
SettlementGetOffice	0x00800b00	4	settlement,number,number,string
SettlementGetOfficeCnt	0x00800a60	2	settlement,number
SettlementGetOfficeHolder	0x00800be0	4	settlement,number,number,string
SettlementGetOfficeLevelCnt	0x008009e0	1	settlement
SetWorkOfArtProvenance	0x007190e0	8	guildobject,number,number,string,string,number,number,number
ShowBoundingBox	0x007080b0	2	guildobject,bool
ShowBuildingFlags	0x006fb210	2	building,bool
ShowMap	0x0044ccb0	1	number
ShowObject	0x00710100	2	guildobject,outalias
ShowOverheadMeasureSymbol	0x0070a960	2	guildobject,string
ShowOverheadSymbol	0x0071a950	5	guildobject,bool,bool,string,string
ShowStatistics	0x0044e6f0	0	
SimAddCourtingProgress	0x00700740	1	sim
SimAddDate	0x00710fb0	5	sim,building,string,number,string
SimAddDatebookEntry	0x00719d70	5	sim,number,building,string,string
SimApplyDeposition	0x00800690	2	sim,sim
SimArrangeLiaison	0x00700910	2	sim,sim
SimBeamMeUp	0x006ff9b0	3	object,object,bool
SimCanBeCharged	0x007019b0	1	sim
SimCanBeHired	0x006fa6e0	3	sim,guildobject,bool
SimCanStartCourtLover	0x00700570	2	sim,sim
SimCanWorkHere	0x006faae0	2	sim,building
SimChargeCharacter	0x00717d70	2	sim,sim
SimConsumeGoods	0x007004e0	2	sim,bool
SimCreate	0x007059f0	6	number,building,object,string,number,number
SimCreateCompanion	0x007108f0	1	sim
SimCreateUnplaced	0x00705b60	4	number,string,number,number
SimDoCourtingAction	0x00700690	3	sim,number,number
SimFindProduction	0x006faa20	1	sim
SimFindSquad	0x0070b500	2	sim,string
SimGenerateName	0x006ffe20	2	sim,string
SimGetAge	0x00710200	1	sim
SimGetAlignment	0x00711330	1	sim
SimGetAssignedArea	0x00711a60	2	sim,string
SimGetAssignedAreaID	0x007113b0	1	sim
SimGetBehavior	0x007000a0	1	sim
SimGetBeloved	0x00701570	2	sim,string
SimGetBestEvidence	0x007160a0	3	sim,?,string
SimGetChild	0x00701310	3	sim,number,string
SimGetChildCount	0x007012a0	1	sim
SimGetChildren	0x00701030	3	sim,number,string
SimGetChildrenCount	0x007010f0	1	sim
SimGetChurch	0x00701610	2	sim,string
SimGetCityOfOffice	0x007ffba0	2	sim,string
SimGetClass	0x007124f0	1	sim
SimGetCourtingSim	0x00710ab0	2	sim,string
SimGetCourtLover	0x007007b0	2	sim,string
SimGetCrimeList	0x00716310	2	sim,string
SimGetCutscene	0x00710d80	2	sim,string
SimGetDeadSpouseCount	0x007112a0	1	sim
SimGetDivorced	0x00702290	2	sim,sim
SimGetFaith	0x00711510	1	sim
SimGetFather	0x00701160	2	sim,string
SimGetFavourableCourtingAction	0x006ff820	1	sim
SimGetGender	0x00712620	1	sim
SimGetHandsel	0x007036c0	2	sim,guildobject
SimGetLastname	0x006ffe80	1	sim
SimGetLevel	0x00712480	1	sim
SimGetLiaison	0x00700850	2	sim,string
SimGetMaxOfficeLevel	0x007ff590	1	sim
SimGetMother	0x00701200	2	sim,string
SimGetNeed	0x006feeb0	2	sim,number
SimGetOffice	0x007ff700	2	sim,string
SimGetOfficeID	0x007ffe20	1	sim
SimGetOfficeIndex	0x007ff680	1	sim
SimGetOfficeLevel	0x007ff600	1	sim
SimGetPregnant	0x00710320	1	sim
SimGetProduceItemID	0x006ffc60	1	sim
SimGetProductivity	0x006ff6c0	1	sim
SimGetProfession	0x00700eb0	1	sim
SimGetProgress	0x006ff720	1	sim
SimGetRank	0x00710a40	1	sim
SimGetReligion	0x00711430	1	sim
SimGetServantDynasty	0x00705590	2	sim,string
SimGetServantDynastyId	0x00705630	1	sim
SimGetSpouse	0x00700f90	2	sim,string
SimGetWage	0x00703760	1	sim
SimGetWealth	0x006fff40	1	sim
SimGetWeaponDamage	0x006f9960	1	sim
SimGetWorkingPlace	0x00701c20	2	sim,outalias
SimGetWorkingPlaceID	0x00701bb0	1	sim
SimHasAbility	0x00715ba0	2	sim,number
SimHire	0x006fa5e0	3	sim,guildobject,bool
SimIsAppliedForOffice	0x00800940	1	sim
SimIsCourting	0x00710b50	1	sim
SimIsInside	0x00702420	1	sim
SimIsMortal	0x0070f190	1	sim
SimIsWorkingTime	0x00702490	1	sim
SimLock	0x00700260	2	sim,number
SimMarry	0x007014e0	2	sim,sim
SimPauseWorking	0x00700f20	1	sim
SimReleaseCourtLover	0x007016d0	1	sim
SimResetBehavior	0x007002f0	1	sim
SimResumePreFightMeasure	0x006fef30	1	sim
SimRunForAnOffice	0x00800410	1	sim
SimSetAge	0x00710280	2	sim,number
SimSetBehavior	0x00700020	2	sim,string
SimSetBehaviorDataAlias	0x007001b0	3	sim,string,object
SimSetBehaviorDataFloat	0x00700110	3	sim,string,number
SimSetClass	0x00712590	2	sim,number
SimSetCourtLover	0x00700600	2	sim,sim
SimSetDoctorTitle	0x00702340	1	sim
SimSetFaith	0x00711590	2	sim,number
SimSetFamily	0x007104c0	3	sim,sim,sim
SimSetFirstname	0x007103a0	2	sim,string
SimSetHireable	0x006fa560	2	sim,bool
SimSetLastname	0x007105a0	2	sim,string
SimSetMortal	0x0070f200	2	sim,bool
SimSetOffice	0x007ffd10	2	sim,object
SimSetParents	0x006ffd60	3	sim,sim,sim
SimSetProduceItemID	0x006ffb50	3	sim,number,number
SimSetProgress	0x006ff790	2	sim,number
SimSetReligion	0x007114b0	2	sim,number
SimSetStartLevel	0x007123f0	2	sim,number
SimStartIdleMeasure	0x006fffb0	1	sim
SimStopMeasure	0x006ffa30	1	object
Sleep	0x005cfbd0	-	unresolved
SneakVisActivate	0x00709950	2	sim,number
SpendMoney	0x00702f80	4	guildobject,number,string,bool
SquadAddMember	0x0070baa0	3	object,number,sim
SquadAddRandom	0x0070b710	3	object,number,number
SquadCreate	0x0070b3c0	5	guildobject,?,object,string,string
SquadDestroy	0x0070b490	1	object
SquadGet	0x0070b670	2	guildobject,string
SquadGetLeader	0x0070bc60	2	object,string
SquadGetLeaderId	0x0070bd00	1	object
SquadGetMeetingPlace	0x0070beb0	2	object,string
SquadGetMember	0x0070bd70	3	object,number,string
SquadGetMemberCount	0x0070b830	2	object,bool
SquadGetProfession	0x0070b7b0	2	object,number
SquadGetState	0x0070bbf0	1	object
SquadGetVacantPlace	0x0070b8c0	1	object
SquadIsNeeded	0x0070ba10	2	object,sim
SquadIsReady	0x0070b930	1	object
SquadMemberExists	0x0070be30	2	object,number
SquadRemoveMember	0x0070bb50	2	guildobject,bool
SquadSetMeetingPlace	0x0070c0e0	2	object,object
SquadSetReady	0x0070b990	3	object,number,bool
StartEmote	0x007017d0	3	sim,string,number
StartGameTimer	0x0070b0d0	1	number
StartHighPriorMusic	0x00713420	2	?,bool
StartMagicalEffect	0x0044d460	6	object,string,number,number,number,number
StartMission	0x00714c90	2	string,object
StartProduction	0x006ff010	2	sim,guildobject
StartQuest	0x00714b90	4	string,sim,guildobject,bool
StartRoomAnimation	0x008044c0	3	building,string,string
StartSinglePlayerGame	0x004516a0	-	unresolved
StartSingleShotParticle	0x00712f90	4	string,object,number,number
Stop	0x005cfd60	-	unresolved
StopAction	0x00708c40	2	string,guildobject
StopAllAnimations	0x00702ab0	1	object
StopAnimation	0x00702a40	2	object,number
StopEmote	0x007018d0	1	sim
StopFollow	0x006fd4c0	1	sim
StopMeasure	0x00638c60	0	
StopProduction	0x006ff080	1	sim
StopRoomAnimation	0x00804630	3	building,string,string
StopScheduledScript	0x00638b80	0	
string	0x00825700	-	unresolved
SystemGetMeasureName	0x006f77a0	0	
SystemGetMeasurePriority	0x006f7740	0	
table	0x00823c10	-	unresolved
takeownership	0x0088bbb0	-	unresolved
Talk	0x00708980	3	sim,sim,bool
ThrowObject	0x006fc570	5	guildobject,guildobject,string,number,string
TradeMemoryEvents	0x006fead0	4	sim,sim,sim,bool
Transfer	0x006fc3e0	7	guildobject,guildobject,number,guildobject,number,string,number
TransferItems	0x006fc300	4	guildobject,guildobject,number,number
TrialHUDSetSims	0x0044d9b0	6	object,number,number,number,number,number
TrialHUDSetStatus	0x0044daa0	7	object,number,number,number,number,number,number
UI_AttachCityListeners	0x00459530	1	number
UI_BringToFront	0x00457d90	-	unresolved
UI_CleanupAll	0x0045b420	-	unresolved
UI_ComboBoxAddItem	0x00458c00	3	number,string,number
UI_ComboBoxGetValue	0x00458e60	1	number
UI_ComboBoxSetValue	0x00458f60	2	number,number
UI_CreateCheckbox	0x00457d80	-	unresolved
UI_CreateComboBox	0x00458700	5	number,number,number,number,number
UI_CreateLabel	0x00457c10	-	unresolved
UI_CreateScrollBar	0x00459c10	14	number,number,number,number,number,number,string,number,number,string,string,number,string,number
UI_CreateSlider	0x00457ff0	10	number,number,number,number,number,?,?,number,?,string
UI_CreateWindow	0x00457c20	-	unresolved
UI_DestroyElement	0x00457c80	-	unresolved
UI_ExcludeFromHitTest	0x00459ba0	-	unresolved
UI_GetCursorPos	0x00450200	-	unresolved
UI_GetElementPosition	0x00457ca0	-	unresolved
UI_GetScreenSize	0x004501f0	-	unresolved
UI_GetSelectedCity	0x00451610	-	unresolved
UI_GetSize	0x00457cd0	-	unresolved
UI_GetSliderValue	0x00459020	1	number
UI_GetText	0x00457d10	-	unresolved
UI_IsButtonPressed	0x00457d70	-	unresolved
UI_IsVisible	0x00457db0	-	unresolved
UI_LoadMapGUI	0x004591f0	2	number,string
UI_LoadSaveScreenshot	0x0045aab0	-	unresolved
UI_SetAlpha	0x00457ce0	-	unresolved
UI_SetButtonColors	0x00457d20	-	unresolved
UI_SetButtonHoverColor	0x00457d50	-	unresolved
UI_SetButtonPressedColor	0x00457d40	-	unresolved
UI_SetButtonReleasedColor	0x00457d30	-	unresolved
UI_SetButtonTexture	0x00457cb0	-	unresolved
UI_SetButtonWheelScroll	0x004598c0	2	number,number
UI_SetCheckboxState	0x00457110	1	number
UI_SetColor	0x00457c70	-	unresolved
UI_SetElementShader	0x00459a10	-	unresolved
UI_SetElementWheelScroll	0x00459760	2	number,number
UI_SetEnabled	0x00457c40	-	unresolved
UI_SetFont	0x00457cf0	-	unresolved
UI_SetFontColor	0x00457d00	-	unresolved
UI_SetLabelAlignment	0x00456130	3	number,string,string
UI_SetMapFile	0x0045a9b0	1	number
UI_SetName	0x00457dc0	-	unresolved
UI_SetOnClick	0x00457c90	-	unresolved
UI_SetPosition	0x00457c50	-	unresolved
UI_SetScrollBarRange	0x0045a6f0	3	number,number,number
UI_SetShaderColor	0x00459ad0	-	unresolved
UI_SetSize	0x00457cc0	-	unresolved
UI_SetSliderValue	0x00459120	1	number
UI_SetText	0x00457c60	-	unresolved
UI_SetTextAlignment	0x00456370	2	number,string
UI_SetTexture	0x00457da0	-	unresolved
UI_SetupDefaultButton	0x00457d60	-	unresolved
UI_SetVisible	0x00457c30	-	unresolved
UI_StyleMenuButton	0x00456bf0	16	number,string,number,number,number,string,number,number,number,number,number,number,number,number,number,number
UI_StyleSlider	0x004582f0	6	number,number,number,string,string,number
UI_ToggleCheckbox	0x004571f0	1	number
UnloadShipCrew	0x00718810	-	unresolved
UnlockAchievement	0x0070d150	1	string
Unmount	0x007157f0	1	sim
UpdateAchievementProgress	0x0044eaa0	3	number,number,object
UpdateStat	0x0070d240	2	string,number
VehicleChangeModel	0x006fa1e0	2	object,outalias
VehicleGetModelName	0x006fa2d0	1	object
VoiceIsMicActiveOn	0x006f81b0	1	guildobject
VoiceToggleMic	0x006f8120	1	guildobject
WaitForMessage	0x005cfcb0	-	unresolved
Weather_GetSeason	0x00803ed0	0	
Weather_GetValue	0x00803df0	1	number
Weather_PlaySound	0x00804210	2	string,number
Weather_Rand	0x00804170	1	number
Weather_SetCloudFactor	0x00804070	1	number
Weather_SetLight	0x00803f70	1	number
Weather_SetParticles	0x00803ff0	1	number
Weather_SetSoundLoop	0x008042c0	4	string,number,number,number
Weather_SetWeather	0x00803d00	2	string,number
Weather_SetWind	0x008040f0	1	number
WeddingHUDSetSims	0x0044dba0	5	object,number,number,number,number
WeddingHUDSetStatus	0x0044dc70	6	object,number,number,number,number,number
